"subject","activity","variable","mean"
"102","1","WALKING_UPSTAIRS","tBodyAccJerkMag.std",-0.478991622075472
"103","1","WALKING_UPSTAIRS","tBodyGyroMag.mean",-0.126735589969811
"104","1","WALKING_UPSTAIRS","tBodyGyroMag.std",-0.14861931805283
"105","1","WALKING_UPSTAIRS","tBodyGyroJerkMag.mean",-0.59488286509434
"106","1","WALKING_UPSTAIRS","tBodyGyroJerkMag.std",-0.648553044339623
"107","1","WALKING_UPSTAIRS","fBodyAcc.mean.X",-0.404321784150943
"108","1","WALKING_UPSTAIRS","fBodyAcc.mean.Y",-0.190976720811321
"109","1","WALKING_UPSTAIRS","fBodyAcc.mean.Z",-0.433349702075472
"110","1","WALKING_UPSTAIRS","fBodyAcc.std.X",-0.337428188679245
"111","1","WALKING_UPSTAIRS","fBodyAcc.std.Y",0.0217695106566038
"112","1","WALKING_UPSTAIRS","fBodyAcc.std.Z",0.0859565543849057
"113","1","WALKING_UPSTAIRS","fBodyAccJerk.mean.X",-0.479875245660377
"114","1","WALKING_UPSTAIRS","fBodyAccJerk.mean.Y",-0.41344458754717
"115","1","WALKING_UPSTAIRS","fBodyAccJerk.mean.Z",-0.685474353962264
"116","1","WALKING_UPSTAIRS","fBodyAccJerk.std.X",-0.461907025849057
"117","1","WALKING_UPSTAIRS","fBodyAccJerk.std.Y",-0.381777065283019
"118","1","WALKING_UPSTAIRS","fBodyAccJerk.std.Z",-0.726040200754717
"119","1","WALKING_UPSTAIRS","fBodyGyro.mean.X",-0.492611667924528
"120","1","WALKING_UPSTAIRS","fBodyGyro.mean.Y",-0.319474609056604
"121","1","WALKING_UPSTAIRS","fBodyGyro.mean.Z",-0.453597213018868
"122","1","WALKING_UPSTAIRS","fBodyGyro.std.X",-0.565892490754717
"123","1","WALKING_UPSTAIRS","fBodyGyro.std.Y",0.151538905566038
"124","1","WALKING_UPSTAIRS","fBodyGyro.std.Z",-0.57170784
"125","1","WALKING_UPSTAIRS","fBodyAccMag.mean",-0.352395944716981
"126","1","WALKING_UPSTAIRS","fBodyAccMag.std",-0.416260101509434
"127","1","WALKING_UPSTAIRS","fBodyBodyAccJerkMag.mean",-0.44265216245283
"128","1","WALKING_UPSTAIRS","fBodyBodyAccJerkMag.std",-0.533059853773585
"129","1","WALKING_UPSTAIRS","fBodyBodyGyroMag.mean",-0.325961457396226
"130","1","WALKING_UPSTAIRS","fBodyBodyGyroMag.std",-0.182985518264151
"131","1","WALKING_UPSTAIRS","fBodyBodyGyroJerkMag.mean",-0.634665082075472
"132","1","WALKING_UPSTAIRS","fBodyBodyGyroJerkMag.std",-0.693930521509434
"133","1","WALKING_DOWNSTAIRS","tBodyAcc.mean.X",0.289188320408163
"134","1","WALKING_DOWNSTAIRS","tBodyAcc.mean.Y",-0.00991850461020408
"135","1","WALKING_DOWNSTAIRS","tBodyAcc.mean.Z",-0.107566190908163
"136","1","WALKING_DOWNSTAIRS","tBodyAcc.std.X",0.0300353383483878
"137","1","WALKING_DOWNSTAIRS","tBodyAcc.std.Y",-0.0319359434489796
"138","1","WALKING_DOWNSTAIRS","tBodyAcc.std.Z",-0.230434213204082
"139","1","WALKING_DOWNSTAIRS","tGravityAcc.mean.X",0.931874418979592
"140","1","WALKING_DOWNSTAIRS","tGravityAcc.mean.Y",-0.266610338979592
"141","1","WALKING_DOWNSTAIRS","tGravityAcc.mean.Z",-0.0621199585938775
"142","1","WALKING_DOWNSTAIRS","tGravityAcc.std.X",-0.950559811632653
"143","1","WALKING_DOWNSTAIRS","tGravityAcc.std.Y",-0.937018658979592
"144","1","WALKING_DOWNSTAIRS","tGravityAcc.std.Z",-0.895939695102041
"145","1","WALKING_DOWNSTAIRS","tBodyAccJerk.mean.X",0.0541553164897959
"146","1","WALKING_DOWNSTAIRS","tBodyAccJerk.mean.Y",0.0296504490408163
"147","1","WALKING_DOWNSTAIRS","tBodyAccJerk.mean.Z",-0.0109719730183673
"148","1","WALKING_DOWNSTAIRS","tBodyAccJerk.std.X",-0.012283860544898
"149","1","WALKING_DOWNSTAIRS","tBodyAccJerk.std.Y",-0.101601390640816
"150","1","WALKING_DOWNSTAIRS","tBodyAccJerk.std.Z",-0.345735032326531
"151","1","WALKING_DOWNSTAIRS","tBodyGyro.mean.X",-0.0350781902989796
"152","1","WALKING_DOWNSTAIRS","tBodyGyro.mean.Y",-0.0909371290204082
"153","1","WALKING_DOWNSTAIRS","tBodyGyro.mean.Z",0.0900850142030612
"154","1","WALKING_DOWNSTAIRS","tBodyGyro.std.X",-0.458030542938775
"155","1","WALKING_DOWNSTAIRS","tBodyGyro.std.Y",-0.126349194938775
"156","1","WALKING_DOWNSTAIRS","tBodyGyro.std.Z",-0.124702454242857
"157","1","WALKING_DOWNSTAIRS","tBodyGyroJerk.mean.X",-0.0739592036271429
"158","1","WALKING_DOWNSTAIRS","tBodyGyroJerk.mean.Y",-0.0439902783367347
"159","1","WALKING_DOWNSTAIRS","tBodyGyroJerk.mean.Z",-0.0270461061061224
"160","1","WALKING_DOWNSTAIRS","tBodyGyroJerk.std.X",-0.487027342244898
"161","1","WALKING_DOWNSTAIRS","tBodyGyroJerk.std.Y",-0.238824827530612
"162","1","WALKING_DOWNSTAIRS","tBodyGyroJerk.std.Z",-0.268761480242857
"163","1","WALKING_DOWNSTAIRS","tBodyAccMag.mean",0.0271882914106122
"164","1","WALKING_DOWNSTAIRS","tBodyAccMag.std",0.0198843506265306
"165","1","WALKING_DOWNSTAIRS","tGravityAccMag.mean",0.0271882914106122
"166","1","WALKING_DOWNSTAIRS","tGravityAccMag.std",0.0198843506265306
"167","1","WALKING_DOWNSTAIRS","tBodyAccJerkMag.mean",-0.0894474807979592
"168","1","WALKING_DOWNSTAIRS","tBodyAccJerkMag.std",-0.0257877197081633
"169","1","WALKING_DOWNSTAIRS","tBodyGyroMag.mean",-0.0757412543673469
"170","1","WALKING_DOWNSTAIRS","tBodyGyroMag.std",-0.225724368061224
"171","1","WALKING_DOWNSTAIRS","tBodyGyroJerkMag.mean",-0.295463843346939
"172","1","WALKING_DOWNSTAIRS","tBodyGyroJerkMag.std",-0.306510645530612
"173","1","WALKING_DOWNSTAIRS","fBodyAcc.mean.X",0.0382291831510204
"174","1","WALKING_DOWNSTAIRS","fBodyAcc.mean.Y",0.00154990783591837
"175","1","WALKING_DOWNSTAIRS","fBodyAcc.mean.Z",-0.225574471693878
"176","1","WALKING_DOWNSTAIRS","fBodyAcc.std.X",0.0243308391387755
"177","1","WALKING_DOWNSTAIRS","fBodyAcc.std.Y",-0.112963739953061
"178","1","WALKING_DOWNSTAIRS","fBodyAcc.std.Z",-0.297927894693878
"179","1","WALKING_DOWNSTAIRS","fBodyAccJerk.mean.X",-0.0276638676122449
"180","1","WALKING_DOWNSTAIRS","fBodyAccJerk.mean.Y",-0.12866715764898
"181","1","WALKING_DOWNSTAIRS","fBodyAccJerk.mean.Z",-0.288334735714286
"182","1","WALKING_DOWNSTAIRS","fBodyAccJerk.std.X",-0.0863278966402041
"183","1","WALKING_DOWNSTAIRS","fBodyAccJerk.std.Y",-0.134580008877551
"184","1","WALKING_DOWNSTAIRS","fBodyAccJerk.std.Z",-0.401721464285714
"185","1","WALKING_DOWNSTAIRS","fBodyGyro.mean.X",-0.352449631363265
"186","1","WALKING_DOWNSTAIRS","fBodyGyro.mean.Y",-0.0557022524693878
"187","1","WALKING_DOWNSTAIRS","fBodyGyro.mean.Z",-0.0318694271979592
"188","1","WALKING_DOWNSTAIRS","fBodyGyro.std.X",-0.495422486102041
"189","1","WALKING_DOWNSTAIRS","fBodyGyro.std.Y",-0.181414728657143
"190","1","WALKING_DOWNSTAIRS","fBodyGyro.std.Z",-0.238443565306122
"191","1","WALKING_DOWNSTAIRS","fBodyAccMag.mean",0.0965845343040816
"192","1","WALKING_DOWNSTAIRS","fBodyAccMag.std",-0.186530301073469
"193","1","WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag.mean",0.0262184949326531
"194","1","WALKING_DOWNSTAIRS","fBodyBodyAccJerkMag.std",-0.104052260726531
"195","1","WALKING_DOWNSTAIRS","fBodyBodyGyroMag.mean",-0.185720285744898
"196","1","WALKING_DOWNSTAIRS","fBodyBodyGyroMag.std",-0.398350390122449
"197","1","WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag.mean",-0.281963359177551
"198","1","WALKING_DOWNSTAIRS","fBodyBodyGyroJerkMag.std",-0.391919876612245
"199","1","SITTING","tBodyAcc.mean.X",0.261237565425532
"200","1","SITTING","tBodyAcc.mean.Y",-0.00130828765170213
"201","1","SITTING","tBodyAcc.mean.Z",-0.104544182255319
"202","1","SITTING","tBodyAcc.std.X",-0.977229008297872
"203","1","SITTING","tBodyAcc.std.Y",-0.922618641914894
"204","1","SITTING","tBodyAcc.std.Z",-0.93958629106383
"205","1","SITTING","tGravityAcc.mean.X",0.831509933404255
"206","1","SITTING","tGravityAcc.mean.Y",0.204411592680851
"207","1","SITTING","tGravityAcc.mean.Z",0.332043702765957
"208","1","SITTING","tGravityAcc.std.X",-0.968457145744681
"209","1","SITTING","tGravityAcc.std.Y",-0.935517055957447
"210","1","SITTING","tGravityAcc.std.Z",-0.949040933191489
"211","1","SITTING","tBodyAccJerk.mean.X",0.0774825199574468
"212","1","SITTING","tBodyAccJerk.mean.Y",-0.000619102785106384
"213","1","SITTING","tBodyAccJerk.mean.Z",-0.00336779235021277
"214","1","SITTING","tBodyAccJerk.std.X",-0.986430711276596
"215","1","SITTING","tBodyAccJerk.std.Y",-0.981371965319149
"216","1","SITTING","tBodyAccJerk.std.Z",-0.987910804468085
"217","1","SITTING","tBodyGyro.mean.X",-0.045350056512766
"218","1","SITTING","tBodyGyro.mean.Y",-0.0919241549361702
"219","1","SITTING","tBodyGyro.mean.Z",0.0629313811914894
"220","1","SITTING","tBodyGyro.std.X",-0.977211283191489
"221","1","SITTING","tBodyGyro.std.Y",-0.966473895319149
"222","1","SITTING","tBodyGyro.std.Z",-0.941425920851064
"223","1","SITTING","tBodyGyroJerk.mean.X",-0.0936793807234043
"224","1","SITTING","tBodyGyroJerk.mean.Y",-0.0402118124255319
"225","1","SITTING","tBodyGyroJerk.mean.Z",-0.046702627
"226","1","SITTING","tBodyGyroJerk.std.X",-0.99173159212766
"227","1","SITTING","tBodyGyroJerk.std.Y",-0.989518068510638
"228","1","SITTING","tBodyGyroJerk.std.Z",-0.987935806382979
"229","1","SITTING","tBodyAccMag.mean",-0.948536786170213
"230","1","SITTING","tBodyAccMag.std",-0.927078418723404
"231","1","SITTING","tGravityAccMag.mean",-0.948536786170213
"232","1","SITTING","tGravityAccMag.std",-0.927078418723404
"233","1","SITTING","tBodyAccJerkMag.mean",-0.987364195531915
"234","1","SITTING","tBodyAccJerkMag.std",-0.984120024042553
"235","1","SITTING","tBodyGyroMag.mean",-0.93089249
"236","1","SITTING","tBodyGyroMag.std",-0.934531840425532
"237","1","SITTING","tBodyGyroJerkMag.mean",-0.991976341276596
"238","1","SITTING","tBodyGyroJerkMag.std",-0.988308728510638
"239","1","SITTING","fBodyAcc.mean.X",-0.979641238723404
"240","1","SITTING","fBodyAcc.mean.Y",-0.944084550425532
"241","1","SITTING","fBodyAcc.mean.Z",-0.959184889148936
"242","1","SITTING","fBodyAcc.std.X",-0.976412313191489
"243","1","SITTING","fBodyAcc.std.Y",-0.917275006382979
"244","1","SITTING","fBodyAcc.std.Z",-0.934469558085106
"245","1","SITTING","fBodyAccJerk.mean.X",-0.986597022553191
"246","1","SITTING","fBodyAccJerk.mean.Y",-0.981579467021277
"247","1","SITTING","fBodyAccJerk.mean.Z",-0.986053092340425
"248","1","SITTING","fBodyAccJerk.std.X",-0.987492994468085
"249","1","SITTING","fBodyAccJerk.std.Y",-0.982513909574468
"250","1","SITTING","fBodyAccJerk.std.Z",-0.988339184893617
"251","1","SITTING","fBodyGyro.mean.X",-0.976161464042553
"252","1","SITTING","fBodyGyro.mean.Y",-0.975838585319149
"253","1","SITTING","fBodyGyro.mean.Z",-0.951315544468085
"254","1","SITTING","fBodyGyro.std.X",-0.977904227021277
"255","1","SITTING","fBodyGyro.std.Y",-0.962345042553192
"256","1","SITTING","fBodyGyro.std.Z",-0.94391784106383
"257","1","SITTING","fBodyAccMag.mean",-0.947782922553192
"258","1","SITTING","fBodyAccMag.std",-0.928444801702128
"259","1","SITTING","fBodyBodyAccJerkMag.mean",-0.985262126808511
"260","1","SITTING","fBodyBodyAccJerkMag.std",-0.981606177446808
"261","1","SITTING","fBodyBodyGyroMag.mean",-0.958435589361702
"262","1","SITTING","fBodyBodyGyroMag.std",-0.932198374893617
"263","1","SITTING","fBodyBodyGyroJerkMag.mean",-0.989797547234043
"264","1","SITTING","fBodyBodyGyroJerkMag.std",-0.987049617234043
"265","1","STANDING","tBodyAcc.mean.X",0.278917629056604
"266","1","STANDING","tBodyAcc.mean.Y",-0.0161375901037736
"267","1","STANDING","tBodyAcc.mean.Z",-0.110601817735849
"268","1","STANDING","tBodyAcc.std.X",-0.995759901509434
"269","1","STANDING","tBodyAcc.std.Y",-0.973190056415094
"270","1","STANDING","tBodyAcc.std.Z",-0.979775876981132
"271","1","STANDING","tGravityAcc.mean.X",0.942952000377358
"272","1","STANDING","tGravityAcc.mean.Y",-0.272983832264151
"273","1","STANDING","tGravityAcc.mean.Z",0.0134905823226415
"274","1","STANDING","tGravityAcc.std.X",-0.99376298509434
"275","1","STANDING","tGravityAcc.std.Y",-0.981225957924528
"276","1","STANDING","tGravityAcc.std.Z",-0.976324063584906
"277","1","STANDING","tBodyAccJerk.mean.X",0.0753766542264151
"278","1","STANDING","tBodyAccJerk.mean.Y",0.00797573092830189
"279","1","STANDING","tBodyAccJerk.mean.Z",-0.00368524954709434
"280","1","STANDING","tBodyAccJerk.std.X",-0.994604542264151
"281","1","STANDING","tBodyAccJerk.std.Y",-0.98564873245283
"282","1","STANDING","tBodyAccJerk.std.Z",-0.992251177358491
"283","1","STANDING","tBodyGyro.mean.X",-0.0239877347979245
"284","1","STANDING","tBodyGyro.mean.Y",-0.0593972209811321
"285","1","STANDING","tBodyGyro.mean.Z",0.074800751
"286","1","STANDING","tBodyGyro.std.X",-0.987191946603774
"287","1","STANDING","tBodyGyro.std.Y",-0.98773444
"288","1","STANDING","tBodyGyro.std.Z",-0.980645626981132
"289","1","STANDING","tBodyGyroJerk.mean.X",-0.0996092129056604
"290","1","STANDING","tBodyGyroJerk.mean.Y",-0.0440627877924528
"291","1","STANDING","tBodyGyroJerk.mean.Z",-0.0489505466716981
"292","1","STANDING","tBodyGyroJerk.std.X",-0.992945106981132
"293","1","STANDING","tBodyGyroJerk.std.Y",-0.995137917358491
"294","1","STANDING","tBodyGyroJerk.std.Z",-0.992108467169811
"295","1","STANDING","tBodyAccMag.mean",-0.984278207358491
"296","1","STANDING","tBodyAccMag.std",-0.981942928867925
"297","1","STANDING","tGravityAccMag.mean",-0.984278207358491
"298","1","STANDING","tGravityAccMag.std",-0.981942928867925
"299","1","STANDING","tBodyAccJerkMag.mean",-0.992367790566038
"300","1","STANDING","tBodyAccJerkMag.std",-0.993096209433962
"301","1","STANDING","tBodyGyroMag.mean",-0.976493792830189
"302","1","STANDING","tBodyGyroMag.std",-0.978690028679245
"303","1","STANDING","tBodyGyroJerkMag.mean",-0.994966790566038
"304","1","STANDING","tBodyGyroJerkMag.std",-0.994733238679245
"305","1","STANDING","fBodyAcc.mean.X",-0.995249932641509
"306","1","STANDING","fBodyAcc.mean.Y",-0.977070847735849
"307","1","STANDING","fBodyAcc.mean.Z",-0.985297098679245
"308","1","STANDING","fBodyAcc.std.X",-0.99602834509434
"309","1","STANDING","fBodyAcc.std.Y",-0.972293102075472
"310","1","STANDING","fBodyAcc.std.Z",-0.977937259622642
"311","1","STANDING","fBodyAccJerk.mean.X",-0.994630797358491
"312","1","STANDING","fBodyAccJerk.mean.Y",-0.985418704528302
"313","1","STANDING","fBodyAccJerk.mean.Z",-0.990752166037736
"314","1","STANDING","fBodyAccJerk.std.X",-0.995073759245283
"315","1","STANDING","fBodyAccJerk.std.Y",-0.987018226792453
"316","1","STANDING","fBodyAccJerk.std.Z",-0.992349818113208
"317","1","STANDING","fBodyGyro.mean.X",-0.986386786037736
"318","1","STANDING","fBodyGyro.mean.Y",-0.988984455849057
"319","1","STANDING","fBodyGyro.mean.Z",-0.980773122830189
"320","1","STANDING","fBodyGyro.std.X",-0.987497128679245
"321","1","STANDING","fBodyGyro.std.Y",-0.987107727735849
"322","1","STANDING","fBodyGyro.std.Z",-0.98234533
"323","1","STANDING","fBodyAccMag.mean",-0.985356361132075
"324","1","STANDING","fBodyAccMag.std",-0.982313804716981
"325","1","STANDING","fBodyBodyAccJerkMag.mean",-0.99254247754717
"326","1","STANDING","fBodyBodyAccJerkMag.std",-0.992536003396226
"327","1","STANDING","fBodyBodyGyroMag.mean",-0.984617623396226
"328","1","STANDING","fBodyBodyGyroMag.std",-0.978466072075472
"329","1","STANDING","fBodyBodyGyroJerkMag.mean",-0.994815376981132
"330","1","STANDING","fBodyBodyGyroJerkMag.std",-0.994671123207547
"331","1","LAYING","tBodyAcc.mean.X",0.22159824394
"332","1","LAYING","tBodyAcc.mean.Y",-0.0405139534294
"333","1","LAYING","tBodyAcc.mean.Z",-0.11320355358
"334","1","LAYING","tBodyAcc.std.X",-0.9280564692
"335","1","LAYING","tBodyAcc.std.Y",-0.83682740562
"336","1","LAYING","tBodyAcc.std.Z",-0.826061401628
"337","1","LAYING","tGravityAcc.mean.X",-0.24888179828
"338","1","LAYING","tGravityAcc.mean.Y",0.70554977346
"339","1","LAYING","tGravityAcc.mean.Z",0.4458177198
"340","1","LAYING","tGravityAcc.std.X",-0.8968300184
"341","1","LAYING","tGravityAcc.std.Y",-0.90772000676
"342","1","LAYING","tGravityAcc.std.Z",-0.85236629022
"343","1","LAYING","tBodyAccJerk.mean.X",0.0810865342
"344","1","LAYING","tBodyAccJerk.mean.Y",0.0038382040088
"345","1","LAYING","tBodyAccJerk.mean.Z",0.010834236361
"346","1","LAYING","tBodyAccJerk.std.X",-0.958482112
"347","1","LAYING","tBodyAccJerk.std.Y",-0.9241492736
"348","1","LAYING","tBodyAccJerk.std.Z",-0.9548551108
"349","1","LAYING","tBodyGyro.mean.X",-0.016553093978
"350","1","LAYING","tBodyGyro.mean.Y",-0.064486124088
"351","1","LAYING","tBodyGyro.mean.Z",0.14868943626
"352","1","LAYING","tBodyGyro.std.X",-0.87354386782
"353","1","LAYING","tBodyGyro.std.Y",-0.9510904402
"354","1","LAYING","tBodyGyro.std.Z",-0.9082846626
"355","1","LAYING","tBodyGyroJerk.mean.X",-0.107270949192
"356","1","LAYING","tBodyGyroJerk.mean.Y",-0.04151728689
"357","1","LAYING","tBodyGyroJerk.mean.Z",-0.0740501211
"358","1","LAYING","tBodyGyroJerk.std.X",-0.9186085208
"359","1","LAYING","tBodyGyroJerk.std.Y",-0.9679072436
"360","1","LAYING","tBodyGyroJerk.std.Z",-0.9577901596
"361","1","LAYING","tBodyAccMag.mean",-0.8419291525
"362","1","LAYING","tBodyAccMag.std",-0.79514486386
"363","1","LAYING","tGravityAccMag.mean",-0.8419291525
"364","1","LAYING","tGravityAccMag.std",-0.79514486386
"365","1","LAYING","tBodyAccJerkMag.mean",-0.9543962646
"366","1","LAYING","tBodyAccJerkMag.std",-0.9282456284
"367","1","LAYING","tBodyGyroMag.mean",-0.874759548
"368","1","LAYING","tBodyGyroMag.std",-0.81901016976
"369","1","LAYING","tBodyGyroJerkMag.mean",-0.96346103
"370","1","LAYING","tBodyGyroJerkMag.std",-0.9358409828
"371","1","LAYING","fBodyAcc.mean.X",-0.9390990524
"372","1","LAYING","fBodyAcc.mean.Y",-0.86706520518
"373","1","LAYING","fBodyAcc.mean.Z",-0.8826668762
"374","1","LAYING","fBodyAcc.std.X",-0.9244374346
"375","1","LAYING","fBodyAcc.std.Y",-0.8336255561
"376","1","LAYING","fBodyAcc.std.Z",-0.81289155944
"377","1","LAYING","fBodyAccJerk.mean.X",-0.9570738838
"378","1","LAYING","fBodyAccJerk.mean.Y",-0.9224626098
"379","1","LAYING","fBodyAccJerk.mean.Z",-0.9480609042
"380","1","LAYING","fBodyAccJerk.std.X",-0.9641607086
"381","1","LAYING","fBodyAccJerk.std.Y",-0.9322178704
"382","1","LAYING","fBodyAccJerk.std.Z",-0.9605869872
"383","1","LAYING","fBodyGyro.mean.X",-0.850249174586
